A01 48°59'59.00"N 002°33'38.57"E
A03 48°59'59.25"N 002°33'41.30"E
A05 48°59'59.64"N 002°33'44.82"E
A07 48°59'59.82"N 002°33'48.13"E
A09 48°59'59.99"N 002°33'51.44"E
A12 49°00'06.56"N 002°33'46.73"E
A14 49°00'07.21"N 002°33'48.96"E
A16 49°00'06.89"N 002°33'48.85"E
A18 49°00'07.93"N 002°33'51.27"E
A30 49°00'08.28"N 002°33'29.75"E
A32 49°00'06.92"N 002°33'29.51"E
A34 49°00'06.78"N 002°33'30.86"E
A38 49°00'06.11"N 002°33'32.69"E
B01 49°00'25.44"N 002°33'48.00"E
B02 49°00'18.88"N 002°33'49.62"E
B03 49°00'25.34"N 002°33'45.75"E
B04 49°00'19.06"N 002°33'48.35"E
B05 49°00'25.24"N 002°33'43.76"E
B06 49°00'19.00"N 002°33'48.26"E
B07 49°00'25.13"N 002°33'41.78"E
B09 49°00'25.03"N 002°33'39.79"E
B11 49°00'24.91"N 002°33'37.80"E
B13 49°00'24.93"N 002°33'37.45"E
B15 49°00'24.81"N 002°33'35.82"E
C02 49°00'07.65"N 002°33'56.88"E
C03 49°00'01.08"N 002°34'00.99"E
C04 49°00'07.56"N 002°34'00.06"E
C04A 49°00'07.29"N 002°34'00.05"E
C05 49°00'00.75"N 002°34'04.31"E
C06 49°00'07.33"N 002°34'02.54"E
C07 49°00'00.91"N 002°34'07.23"E
C08 49°00'08.10"N 002°34'05.53"E
C10 49°00'07.43"N 002°34'08.24"E
C12 49°00'08.20"N 002°34'08.33"E
C14 49°00'09.17"N 002°34'10.82"E
CF9 49°00'00.94"N 002°34'04.91"E
CFE 49°00'09.09"N 002°34'10.89"E
CFW 49°00'07.65"N 002°33'57.26"E
D02 49°00'19.22"N 002°34'09.69"E
D03 49°00'26.32"N 002°34'06.33"E
D04 49°00'19.55"N 002°34'08.51"E
D05 49°00'26.18"N 002°34'04.30"E
D06 49°00'19.44"N 002°34'08.11"E
D07 49°00'26.21"N 002°34'02.52"E
D08 49°00'20.13"N 002°34'06.32"E
D09 49°00'26.07"N 002°34'02.26"E
D10 49°00'19.74"N 002°34'04.99"E
D11 49°00'25.96"N 002°34'00.23"E
D12 49°00'19.88"N 002°34'04.92"E
D13 49°00'26.06"N 002°33'59.83"E
D14 49°00'20.03"N 002°34'02.62"E
D15 49°00'25.99"N 002°33'58.18"E
D16 49°00'20.01"N 002°33'59.94"E
D17 49°00'25.92"N 002°33'57.14"E
D18 49°00'19.87"N 002°33'57.37"E
D19 49°00'25.88"N 002°33'56.15"E
D20 49°00'19.50"N 002°33'55.02"E
D22 49°00'18.76"N 002°33'54.23"E
D24 49°00'18.65"N 002°33'54.13"E
E05 49°00'11.82"N 002°35'02.83"E
E09 49°00'10.46"N 002°35'03.14"E
E10 49°00'04.37"N 002°34'25.17"E
E12 49°00'04.32"N 002°34'25.74"E
E13 49°00'09.09"N 002°35'03.31"E
E14 49°00'05.06"N 002°34'27.91"E
E16 49°00'04.85"N 002°34'27.72"E
E17 49°00'07.34"N 002°35'03.52"E
E18 49°00'05.33"N 002°34'30.95"E
E20 49°00'05.51"N 002°34'34.46"E
E21 49°00'05.97"N 002°35'03.69"E
E22 49°00'05.94"N 002°34'37.89"E
E24 49°00'06.16"N 002°34'41.44"E
E25 49°00'04.60"N 002°35'03.86"E
E26 49°00'06.29"N 002°34'45.00"E
E29 49°00'03.23"N 002°35'04.03"E
E30 49°00'06.27"N 002°34'48.59"E
E32 49°00'06.19"N 002°34'52.06"E
E34 49°00'06.13"N 002°34'55.92"E
E38 49°00'08.92"N 002°34'52.84"E
E40 49°00'09.45"N 002°34'50.09"E
E42 49°00'08.72"N 002°34'49.04"E
E44 49°00'09.31"N 002°34'45.93"E
F02 49°00'19.74"N 002°34'25.04"E
F03 49°00'26.77"N 002°35'01.79"E
F04 49°00'20.93"N 002°34'24.73"E
F08 49°00'22.26"N 002°34'24.15"E
F09 49°00'24.06"N 002°35'02.12"E
F10 49°00'23.39"N 002°34'23.80"E
F14 49°00'24.29"N 002°34'23.84"E
F15 49°00'21.28"N 002°35'02.46"E
F16 49°00'24.96"N 002°34'25.00"E
F20 49°00'25.53"N 002°34'26.35"E
F22 49°00'25.68"N 002°34'27.96"E
F26 49°00'25.47"N 002°34'30.50"E
F28 49°00'25.34"N 002°34'30.95"E
F30 49°00'24.72"N 002°34'31.92"E
F32 49°00'23.64"N 002°34'32.23"E
F66 49°00'22.71"N 002°34'39.76"E
F68 49°00'23.83"N 002°34'39.80"E
F70 49°00'25.20"N 002°34'39.98"E
F72 49°00'25.29"N 002°34'39.88"E
F74 49°00'25.04"N 002°34'39.94"E
F76 49°00'25.92"N 002°34'40.66"E
F80 49°00'26.37"N 002°34'42.46"E
F82 49°00'26.41"N 002°34'44.86"E
F84 49°00'26.40"N 002°34'46.29"E
F86 49°00'25.61"N 002°34'47.73"E
F90 49°00'24.59"N 002°34'48.06"E
F92 49°00'23.41"N 002°34'47.88"E
F94 49°00'22.17"N 002°34'48.30"E
F96 49°00'21.01"N 002°34'48.20"E
G10 49°00'11.75"N 002°33'22.59"E
G11 49°00'11.81"N 002°33'23.29"E
G12 49°00'11.82"N 002°33'23.89"E
G13 49°00'11.90"N 002°33'25.08"E
G14 49°00'11.88"N 002°33'25.27"E
G20 49°00'14.40"N 002°33'21.73"E
G21 49°00'14.39"N 002°33'21.74"E
G22 49°00'14.49"N 002°33'23.39"E
G23 49°00'14.51"N 002°33'24.07"E
G24 49°00'14.57"N 002°33'25.06"E
G31 49°00'17.79"N 002°33'22.44"E
G35 49°00'17.68"N 002°33'25.93"E
H01 49°00'58.34"N 002°34'43.14"E
H02 49°00'58.04"N 002°34'39.59"E
H03 49°00'57.89"N 002°34'36.03"E
H04 49°00'57.76"N 002°34'32.47"E
H05 49°00'48.53"N 002°34'44.35"E
H06 49°00'48.34"N 002°34'40.79"E
H07 49°00'48.15"N 002°34'37.23"E
H08 49°00'47.96"N 002°34'33.68"E
